edge	sum_in	sum_out
3478	8.17784	11.6042
1478	0.341085	0.24504
2531	0.0783165	0.0562637
2116	1.06004	2.16354
1949	0.0704419	0.0578073
793	0.0132858	0.0281715
981	0.619029	2.34064
1375	0.559859	2.11691
711	0.03662	0.294162
717	0.358583	2.93098
183	5.64663	7.29265
3021	51.6684	24.9061
3170	17.5904	8.47922
3476	2.02311	7.73421
1476	0.122154	0.118844
2530	0.145719	0.112307
957	0.870373	0.714261
2183	0.871201	0.714941
792	0.00841723	0.0201207
980	0.152442	1.06019
1374	0.249865	1.51335
710	0.232694	1.71741
715	0.349449	2.85632
745	12.0189	15.5224
1677	17.3941	22.4645
425	13.5025	6.5087
3173	100.878	48.627
3169	31.8624	34.9433
1477	0.00803952	0.00599186
2532	0.403462	0.335206
956	0.183248	0.0684699
2182	32.1848	19.359
786	0.00813227	0.023543
2750	0.259492	1.91519
3001	0.313142	2.31116
714	0.172742	2.32123
744	5.21266	15.4722
1676	0.762811	3.10902
426	32.7751	41.0285
824	86.1433	41.5243
2670	5.50201	2.65217
3168	6.95476	6.47993
1471	0.220768	0.113159
2529	4.46172	5.52792
955	0.287475	0.0885225
1136	85.9415	51.6933
3440	26.6071	16.004
2749	0.0939554	1.23098
3000	0.132164	1.5626
482	2.75581	8.17976
698	2.73864	8.12879
424	27.9891	64.003
825	59.9015	28.8747
2671	13.1391	18.8698
1774	5.10899	4.76018
3266	19.7135	18.3676
1472	0.014963	0.00643263
2528	0.578454	1.36378
954	4.98184	1.85641
394	22.2936	13.4095
2920	11.9526	7.18939
3441	32.8435	19.7551
215	13.5458	30.9754
592	7.07651	16.1819
823	38.79	18.6982
2672	0.967924	3.33179
3265	16.4878	15.3621
1473	0.441328	0.207191
475	0.731351	0.272528
1454	2.39252	0.891539
1881	39.9906	24.0541
3002	33.0223	19.8627
2919	0.715535	0.696264
3439	72.1794	43.4155
591	1.77325	10.0367
2488	88.8409	42.8246
3492	147.938	71.3118
2669	1.96067	7.02158
784	1.07143	0.998275
1778	4.96897	4.62972
1474	0.321213	0.195047
476	0.448268	0.229872
1453	1.15138	1.16078
273	43.0089	25.8696
324	49.837	29.9766
2104	16.4888	16.0447
2624	26.1536	25.4492
1942	12.8872	7.75154
2835	10.7963	6.49392
757	32.1073	15.4769
2151	14.4165	6.94931
2111	6.05232	2.91744
2723	121.758	58.6919
1049	0.877825	3.14369
2594	1.40153	5.01917
783	4.15108	7.85872
1777	10.5986	2.6725
1475	0.841576	0.720078
474	9.23532	7.77562
1452	0.0982385	0.244449
274	36.7212	22.0876
281	27.926	16.7973
2162	35.995	21.6508
2105	1.72005	3.57069
2623	33.2749	32.3788
1943	21.5751	26.3238
2834	3.58155	6.72885
756	2.95936	4.18813
2021	13.2008	6.36326
2868	47.5353	22.9138
2110	43.2939	29.7175
1229	8.56701	4.12962
2007	6.85548	3.3046
653	3.55738	0.897018
2012	0.878321	0.221475
1636	3.56939	0.900045
1470	1.04745	1.35122
446	2.25059	1.89487
2464	3.87484	3.2624
1451	0.32657	0.29704
275	5.23641	6.72094
1328	30.2283	18.1821
1803	18.5982	11.1867
2103	13.4308	43.8649
2622	0.540237	0.525687
1945	0.302777	1.054
2020	59.5454	28.7031
2869	28.7422	13.8548
1634	5.91853	4.06256
3498	14.98	10.2825
1228	62.0908	22.9264
2008	22.4951	30.1563
391	8.10564	2.04389
1178	2.13274	0.537785
2011	9.36516	5.2068
1014	1.17767	1.51922
1161	0.112231	0.14478
1729	17.6103	14.8269
2741	3.79412	3.19444
2463	0.455463	0.983399
1450	0.440895	0.401028
3178	0.203491	0.185091
276	1.86589	2.39488
1327	0.139783	0.148853
442	0.64083	0.623571
734	11.5519	11.2408
1944	0.0602544	0.290842
1503	74.723	36.0193
2109	41.2858	19.9013
2870	56.0765	27.0309
1633	0.494593	1.06132
3497	1.18121	0.810799
1165	72.2594	26.681
2370	190.247	70.2467
2009	3.73755	9.66268
392	16.2377	4.09445
1160	0.684652	0.610396
58	1.42728	1.20169
1784	22.6447	19.0656
1564	4.15067	3.49463
3016	5.31904	4.47833
2465	0.0867167	0.394733
1449	0.0795994	0.152551
3177	0.0420728	0.0502913
272	2.78736	3.57758
1326	18.2961	7.66678
443	13.5586	25.8939
606	40.8778	39.7768
2588	21.7938	21.2068
1941	0.360299	1.00224
1502	5.30128	7.10248
2108	11.0384	16.4934
2871	14.1062	6.79972
1632	0.0737064	0.363146
283	9.64222	6.61855
3008	11.1661	7.66459
1166	16.8106	6.20715
2369	14.512	3.29708
2006	1.86424	6.69469
390	1.09233	0.275439
1159	0.74182	0.906415
59	0.118377	0.12645
1783	3.30987	6.58735
1563	0.629083	1.46182
2462	0.125393	0.862995
3176	0.0287384	0.0158336
27	30.518	39.1699
2566	17.8632	22.9275
